retail,ASIN,weight,dim,selling,channel
14.99,B079S518PW,4.16893642,0.989549783,5.179999828,1
14.98,B0148DA4J6,0.8377556,5.166819606,5.190000057,1
13.02,B0093CMYRS,5.29990648,1.219156942,5.199999809,1
13.99,B07RWQ48P3,0.330693,2.076561878,5.21999979,1
15.99,B000ALG05S,0.0992079,0.271753024,5.239999771,1
16.99,B004NSBNAQ,3.2407914,5.627350983,5.25,1
16.99,B01L9UAB3K,1.3668644,2.014660139,5.25,1
10.62,B083T5GJ1Z,0.24471282,0.524189193,5.25,1
10.99,B083T5MM68,0.14991416,0.333215743,5.25,1
9.99,B06XD753Q7,0.29982832,1.010622715,5.25,1
19.83,B01FN7XDVM,0.9700328,1.4645688,5.28000021,1
19.97,B075C7LHCM,10.471945,2.307925114,5.28000021,1
16.18,B078ST876M,0.87964338,2.222755346,5.340000153,1
15.49,B07R8P986Q,0.7936632,0.525945271,5.369999886,1
19.99,B00FDV6B36,5.9304278,3.600837319,5.409999847,1
14.99,B00A6MKU7K,6.28096238,1.117304435,5.5,1
10.99,B01M0M9N4H,0.52249494,3.667568272,5.5,1
12.99,B06XHY9HFV,0.70988764,3.580642426,5.5,1
9.6,B07W5CMX7S,0.72531998,3.375181335,5.5,1
9.3,B0007ZFTOA,2.03045502,0.897794723,5.510000229,1
15.03,B002QSTJMY,0.110231,0.299850267,5.510000229,1
16.95,B0036UXXNW,0.0992079,0.218631673,5.510000229,1
13.73,B079RVRS1Z,5.41454672,1.239790855,5.53000021,1
14.64,B07S4HHG8B,2.66979482,2.43304565,5.590000153,1
18.99,B005IZ2SJ8,5.73421662,5.59925374,5.599999905,1
14.95,B000B6ACGA,1.75928676,4.26419567,5.619999886,1
23.74,B000ZOPXG2,1.00089748,13.33872717,5.630000114,1
14.99,B01ED7S6CO,0.24912206,0.431117075,5.630000114,1
14.99,B01ED7S7DC,0.24912206,0.483799406,5.630000114,1
16.64,B077KD6D9Z,0.21164352,2.232413773,5.630000114,1
17,B077KFN7SY,0.14991416,1.514617014,5.630000114,1
15.35,B077KGNG2Q,0.20062042,2.315388445,5.630000114,1
14.99,B00BLTDIH6,0.44974248,0.248924014,5.659999847,1
17.95,B0002INJTE,0.13007258,0.287557723,5.699999809,1
18.99,B00DYA3FI2,2.83073208,4.773897222,5.730000019,1
12,B000LI5RZ4,0.20723428,0.403897871,5.78000021,1
18.99,B00DYA3FIM,3.50093656,7.958983146,5.78000021,1
18.99,B00DYA3FJ6,2.85057366,4.524534188,5.78000021,1
18.99,B00DYA3FL4,2.85057366,3.925272674,5.78000021,1
19.52,B0793FP6LL,0.6503629,0.945208821,5.78000021,1
19.54,B0793HPFQV,0.72972922,1.165596572,5.78000021,1
14.99,B01L85QWUM,0.6172936,4.494680868,5.800000191,1
10.95,B00JXDKUOQ,0.14991416,0.113706031,5.809999943,1
13.58,B01EISJE2Y,0.6503629,2.530068943,5.829999924,1
20.99,B07F3QF4B4,1.25001954,1.12871894,5.829999924,1
19.99,B0015N6I70,0.7495708,0.107559759,5.849999905,1
