ASIN,channel,retail,1m,weight,selling
B071G8K331,0,75.76,1137.969958,5.89956312,18
B07F921JJQ,0,14.2,93.366261,0.24912206,3.36
B00HHIIX8E,0,73.99,4524.724284,3.56927978,17.5
B006PDJWCI,0,569,6729.449541,99.00066572,134.47
B07MP18CNW,0,29.97,391.0398696,0.95019122,7.08
B0009PVUOQ,0,159.99,15741.42956,32.2756368,37.76
B07Y5XNHCL,0,21.19,268.3212089,0.661386,5
B07Y83H92H,0,21.23,267.7719956,0.72972922,5
B07CFBDYW4,0,29.47,575.453491,6.2611208,6.94
B07PHC85K2,0,30.08,364.311489,0.93034964,7.08
B00JUM31F0,0,279.51,4145.461988,67.99929928,65.78
B0030DBHHO,0,484.95,9048.289118,77.00076274,114
B07YLJH43D,0,39.95,261.4865545,1.69976202,9.37
B07WJJF1HG,0,30.19,281.0751622,1.04939912,7.08
B00HS3VREA,0,400,4495.79905,74.99896778,93.78
B075H279H1,0,33.06,808.3199302,4.36955684,7.75
B00BPKPCGG,0,426.64,5326.453655,47.8843464,99.75
B084RJF97Y,0,32.08,202.3545892,2.64995324,7.5
B07Y5XLGHV,0,21.99,268.4432563,0.87302952,5.14
B07TKJPBWV,0,64.86,310.0614197,4.49962942,15.16
B01M9ANUVA,0,69.32,1643.063123,19.20003558,16.2
B000MF48D8,0,107.08,12669.67957,15.35076906,25
B07VYW1K2S,0,25.84,287.4826507,0.82011864,6.03
B001Y9QZ64,0,299.99,9952.782399,38.19945074,69.99
B07L6QCD9J,0,30.39,401.3528749,0.9259404,7.08
B00ZEYSVDU,0,75.18,3004.074704,3.60014446,17.5
B07D7JSVRL,0,29,541.7684086,1.2566334,6.75
B07PKMS7K5,0,29,363.4571572,1.0361714,6.75
B07QZYNFLT,0,29,345.7602842,1.0141252,6.75
B08K2PLFZV,0,36.04,145.1753823,1.543234,8.37
B01BLZ6C2C,0,160,2424.349554,38.00103494,37.13
B001F0IB14,0,204.35,10700.74989,42.30004394,47.42
B0849G56Z1,0,22.68,206.6262482,0.29982832,5.25
B00JSYGS2I,0,291.86,4173.838009,57.0004501,67.5
B07WSYDWM8,0,32.54,278.4511431,0.661386,7.5
B071WC2NK8,0,47.8,1060.347811,5.6989427,11
B000Q0XPS8,0,274.43,12240.31682,46.20001672,63
B00O5HMSMM,0,16.99,116.6162907,0.22928048,3.9
B0869LMQGT,0,39.23,189.7226833,2.35012492,9
B07HB7R7Z2,0,44.99,444.6186782,2.1605276,10.28
B005NIL5JY,0,102.98,7143.190227,17.85080814,23.52
B07MC5BTJW,0,35.09,395.7997182,2.6565671,8
B07T5G6B28,0,66.06,315.492529,4.90087026,15.06
B07SMBDGY5,0,26.38,321.9610412,0.95019122,6.01
B081R377SS,0,27.47,226.7030455,0.7495708,6.25
B07NR69PTS,0,41.87,87.874128,2.07013818,9.52
B07DFWRXKY,0,22,530.7841426,0.76941238,5
B07HXML6M9,0,22,436.1974076,0.8598018,5
B07K8G6VTW,0,22,419.232819,0.661386,5
B07MY2KF75,0,22,386.0969499,0.8377556,5
B07N83Q31Y,0,22,381.8252909,0.661386,5
B07R3N8PQR,0,22,344.3567391,0.7495708,5
B07RBCG4NH,0,22,342.1598859,1.04939912,5
B07RBXRBYZ,0,22,341.9768148,0.87964338,5
B07RG3HJX2,0,22,340.8783882,0.8157094,5
B07RS84ZF9,0,22,335.0811367,0.7495708,5
